origin,destination,distance
AG,BF,6478.664
AG,BG,8513.356
AG,BH,11289.145
AG,BI,10299.619
AG,BJ,6966.887
AG,BL,152.27
AG,BM,1722.811
AG,BN,17583.545
AG,BO,3713.657
AG,BQ,897.79
AG,BR,3644.7
AG,BS,1843.549
AG,BT,14225.017
AG,BV,10036.602
AG,BW,10372.087
AG,BY,8470.327
AG,BZ,2835.166
AG,CA,5720.316
AG,CA-AB,6153.229
AG,CA-BC,6763.24
AG,CA-MB,5170.498
AG,CA-NB,3305.241
AG,CA-NL,4087.921
AG,CA-NS,3131.091
AG,CA-NT,6740.396
AG,CA-NU,5806.21
AG,CA-ON,4333.902
AG,CA-PE,3257.589
AG,CA-QC,4034.796
AG,CA-SK,5675.183
AG,CA-YT,7495.181
AG,CC,17657.693
AG,CD,8700.468
AG,CF,9023.437
AG,CG,8697.482
AG,CH,7123.169
AG,CI,6181.905
AG,CK,11486.083
AG,CL,5953.23
AG,CM,8089.316
AG,CN,13948.325
AG,CO,1945.382
AG,CR,2507.763
AG,CU,1748.288
AG,CV,4023.135
AG,CW,942.475
AG,CX,18477.394
AG,CY,9384.824
AG,CZ,7660.799
AG,DE,7306.892
AG,DJ,11111.21
AG,DK,7286.581
AG,DM,188.558
AG,DO,904.524
AG,DZ,6560.912
AG,EC,2764.638
AG,EE,8211.91
AG,EG,9409.769
AG,EH,5126.403
AG,ER,10699.305
AG,ES,6102.155
AG,ET,10993.98
AG,FI,8211.843
AG,FJ,13528.645
AG,FK,7659.734
AG,FM,15536.744
AG,FO,6539.479
AG,FR,6659.443
AG,GA,8273.163
AG,GB,6476.018
AG,GD,533.918
AG,GE,9926.483
AG,GF,1739.214
AG,GG,6365.646
AG,GH,6650.645
AG,GI,5910.203
AG,GL,6205.722
AG,GM,4992.103
AG,GN,5672.729
AG,GP,29.723
AG,GQ,8048.125
AG,GR,8283.014
AG,GS,8365.124
AG,GT,3033.472
AG,GU,15539.568
AG,GW,5042.577
AG,GY,1392.091
AG,HK,15605.078
AG,HM,14456.497
AG,HN,2617.694
AG,HR,7663.648
AG,HT,1129.063
