subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-MD,2019-03,8.91666e-8,0.0000279157,0.0041666,1.57902e-10,4.09777e-10,0.00213332,0.000214237,7.03453e-7,0.00120364
US-ME,2019-03,3.39746e-7,0.000489082,0.0319995,2.01982e-9,4.26613e-9,0.0228514,0.00112301,0.000016163,0.0179016
US-MI,2019-03,6.70939e-8,0.0000584118,0.00539279,4.43365e-10,5.67926e-10,0.00279165,0.000149428,0.00000191016,0.00233551
US-MN,2019-03,2.75444e-7,0.0000733398,0.019003,1.54627e-9,1.25354e-9,0.00556331,0.000484266,0.00000193013,0.00401607
US-MO,2019-03,3.95445e-8,0.00000798298,0.00445395,3.04582e-10,2.20848e-10,0.00113082,0.0000931976,1.2507e-7,0.000541625
US-MS,2019-03,4.21155e-8,0.0000478326,0.000608249,3.1325e-11,3.53145e-10,0.00176083,0.0000995864,0.00000163161,0.00166994
US-MT,2019-03,7.53313e-8,0.0000204092,0.0145316,6.0432e-10,6.95246e-10,0.004504,0.000360789,5.97692e-8,0.00117762
US-NC,2019-03,3.91335e-7,0.0000730119,0.00673628,2.63326e-10,1.10433e-9,0.0046153,0.000690371,0.00000179529,0.00344687
US-ND,2019-03,2.00075e-7,0.0000192358,0.0240228,1.92328e-9,9.84314e-10,0.00453811,0.000372552,5.94248e-10,0.00231785
US-NE,2019-03,1.53246e-7,0.0000193892,0.0173484,1.42395e-9,7.47415e-10,0.00337253,0.000272857,2.04755e-7,0.0018981
US-NH,2019-03,8.26576e-8,0.000190416,0.00620358,3.10406e-10,1.43309e-9,0.00781533,0.000338853,0.00000648236,0.0065522
US-NJ,2019-03,1.14464e-7,0.0000325566,0.00156467,6.72957e-11,3.75246e-10,0.00159447,0.000201024,9.45472e-7,0.00136709
US-NM,2019-03,4.43496e-7,0.0000303712,0.0226063,1.79649e-9,1.28729e-9,0.00499015,0.000700757,7.70291e-8,0.00317989
US-NV,2019-03,7.32822e-7,0.0000463005,0.0122876,4.62229e-10,1.51806e-9,0.00562956,0.00122544,1.31497e-7,0.00350306
