country,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
BZ,2021,3.68661e-7,0.00245515,0.18537,0.00000481771,0.00000246268,0.395114,0.00419556,0.00010423,0.0336411
BZ,2022,3.83273e-7,0.00244961,0.183301,0.00000490144,0.00000250489,0.387056,0.00407584,0.000104392,0.0326156
BZ,2023,4.05872e-7,0.00244314,0.183649,0.000004405,0.00000225268,0.386804,0.00410544,0.000103567,0.0328161
BZ,2024,4.1896e-7,0.00243682,0.182592,0.00000423749,0.00000216741,0.38322,0.00408571,0.000103267,0.0325347
CA,2019,2.22652e-7,0.000293807,0.0740729,6.8386e-7,3.58071e-7,0.136605,0.00443907,0.00000460686,0.0367942
CA,2020,2.20268e-7,0.000274802,0.0711242,4.7735e-7,2.52428e-7,0.127366,0.0042848,0.00000410331,0.0352808
CA,2021,2.19965e-7,0.000255224,0.0677456,6.57745e-7,3.43056e-7,0.123885,0.00426975,0.00000392538,0.0340213
CA,2022,2.21768e-7,0.000260532,0.0693678,5.32165e-7,2.79655e-7,0.124759,0.0040829,0.00000381911,0.0327377
CA,2023,2.43336e-7,0.000264861,0.0698804,5.87146e-7,3.07482e-7,0.129026,0.00434568,0.0000039958,0.0345816
CA,2024,2.3077e-7,0.000275059,0.0720321,0.00000119147,6.14951e-7,0.134124,0.00432324,0.00000471014,0.0346702
CD,2019,7.08809e-8,0.0000744331,0.0309783,1.8156e-7,9.40517e-8,0.0200525,0.000944019,0.00000109574,0.00256944
CD,2020,7.08809e-8,0.0000744331,0.0309783,1.8156e-7,9.40517e-8,0.0200525,0.000944019,0.00000109574,0.00256944
CD,2021,7.08809e-8,0.0000744331,0.0309783,1.8156e-7,9.40517e-8,0.0200525,0.000944019,0.00000109574,0.00256944
CD,2022,7.08809e-8,0.0000744331,0.0309783,1.8156e-7,9.40517e-8,0.0200525,0.000944019,0.00000109574,0.00256944
CD,2023,7.08809e-8,0.0000744331,0.0309783,1.8156e-7,9.40517e-8,0.0200525,0.000944019,0.00000109574,0.00256944
CD,2024,7.08809e-8,0.0000744331,0.0309783,1.8156e-7,9.40517e-8,0.0200525,0.000944019,0.00000109574,0.00256944
CF,2019,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
CF,2020,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
CF,2021,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
CF,2022,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
CF,2023,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
CF,2024,6.06e-8,0.0000445,0.0273,3.54e-10,1.39e-9,0.0107,0.00084,8.07e-10,0.00166
CG,2019,2.10782e-7,0.000995044,0.133197,1.62096e-9,8.80812e-9,0.389788,0.00681843,0.0000333316,0.0388478
CG,2020,2.10782e-7,0.000995044,0.133197,1.62096e-9,8.80812e-9,0.389788,0.00681843,0.0000333316,0.0388478
CG,2021,2.10782e-7,0.000995044,0.133197,1.62096e-9,8.80812e-9,0.389788,0.00681843,0.0000333316,0.0388478
CG,2022,2.10782e-7,0.000995044,0.133197,1.62096e-9,8.80812e-9,0.389788,0.00681843,0.0000333316,0.0388478
CG,2023,2.10782e-7,0.000995044,0.133197,1.62096e-9,8.80812e-9,0.389788,0.00681843,0.0000333316,0.0388478
CG,2024,2.10782e-7,0.000995044,0.133197,1.62096e-9,8.80812e-9,0.389788,0.00681843,0.0000333316,0.0388478
CH,2019,3.18746e-7,0.000366272,0.0541775,6.37164e-7,3.28928e-7,0.0696378,0.00628696,0.0000134976,0.0520196
CH,2020,3.26922e-7,0.000369651,0.0537864,5.58223e-7,2.88511e-7,0.0681785,0.00594828,0.0000137223,0.0485347
CH,2021,3.84078e-7,0.000418252,0.0618988,0.0000015276,7.82627e-7,0.0897521,0.00572523,0.0000154389,0.045975
CH,2022,4.44616e-7,0.000420781,0.0618967,0.0000013965,7.16179e-7,0.0879346,0.00662543,0.0000154788,0.0542179
CH,2023,4.49473e-7,0.000367318,0.0540517,5.1111e-7,2.64639e-7,0.0667332,0.00605963,0.0000133816,0.0484145
CH,2024,3.08304e-7,0.000337583,0.0492394,6.92899e-8,3.92191e-8,0.0562571,0.00580443,0.0000124787,0.0472332
CI,2019,1.8203e-7,0.00167586,0.17086,2.1156e-9,1.07615e-8,0.420713,0.00568305,0.0000661678,0.0317162
CI,2020,1.8203e-7,0.00167586,0.17086,2.1156e-9,1.07615e-8,0.420713,0.00568305,0.0000661678,0.0317162
CI,2021,1.8203e-7,0.00167586,0.17086,2.1156e-9,1.07615e-8,0.420713,0.00568305,0.0000661678,0.0317162
CI,2022,1.8203e-7,0.00167586,0.17086,2.1156e-9,1.07615e-8,0.420713,0.00568305,0.0000661678,0.0317162
