subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-NL,2021-02,7.64819001703847e-8,0.00008919358697542024,0.03556168770765855,1.0222852166073721e-7,5.466852577558161e-8,0.03510044679059568,0.0011659018336627692,7.984714841276182e-7,0.00468179005902905
CA-PE,2021-02,6.75907239585269e-7,0.00006071150278180388,0.07585421687528736,2.4333005872138698e-8,1.2294671001994e-8,0.016670425204734825,0.0010905373921982339,1.402859012030136e-7,0.008011685864537616
CA-NS,2021-02,3.72336089691878e-7,0.0009197461700584065,0.1891446626557545,0.0000019953744258437794,0.0000010447475318999156,0.48853699452933874,0.007222372368866751,0.00001562150487837913,0.06084271371189109
CA-NB,2021-02,3.544357640880608e-7,0.0008638287282054762,0.1786540388914263,0.0000018680189790015317,9.782075648004158e-7,0.45795234028366105,0.007012762279074186,0.0000146244895091618,0.058952306250015615
CA-QC,2021-02,8.666794666169096e-8,0.00005345811182418383,0.030674971332297546,2.0295827656932234e-8,1.1757320668418397e-8,0.01548442427048203,0.000910183702683753,1.5512784678983489e-7,0.002463856269504448
CA-ON,2021-02,3.5931759988798253e-7,0.00018811794812912818,0.05770253344434988,3.2218453319149077e-7,1.716350528890803e-7,0.08536536423567442,0.008642002580203076,0.000002516329598055145,0.07601487847109292
CA-MB,2021-02,7.850735655039068e-8,0.00004853890924515253,0.02928281768732194,9.215459491979846e-9,5.97989465408833e-9,0.01282831436747691,0.0008729648290665993,6.888142281784124e-8,0.002075614258754706
CA-SK,2021-02,3.3831123435032874e-7,0.000906915653679042,0.184557851935734,0.000001966741192634815,0.000001029852654455053,0.4816686219813441,0.007122573893088396,0.000015399656824128608,0.0597198782366314
CA-AB,2021-02,3.8865517080638515e-7,0.0009920793429467653,0.20174885069774873,0.000002160376396453055,0.000001131069340911403,0.528057395239954,0.007748583432764448,0.000016914258454069437,0.06564575189763128
CA-BC,2021-02,1.0910114043834905e-7,0.00012187340344097902,0.04317621722495097,1.762758285196034e-7,9.333734878143676e-8,0.05284350058836289,0.0014087165109228192,0.0000013765851813178538,0.007072796281750924
CA-YT,2021-02,1.2720696808767728e-7,0.0002696548714542127,0.06791277882454066,5.138504582445378e-7,2.6997561612111927e-7,0.1336852755481783,0.0024789722420004282,0.00000402248591283779,0.016766864690801214
CA-NT,2021-02,2.6416074092025666e-7,0.0007071577373884351,0.1473750420870845,0.0000015114573052171922,7.917570714867088e-7,0.37262135336703367,0.0056655208379731365,0.00001183511371163227,0.04618461958968618
CA-NU,2021-02,3.71378079436903e-7,0.001095038712921066,0.2167931080945199,0.000002396251121166415,0.0000012545700251382602,0.5845307692307694,0.008487197586726999,0.00001876535498240322,0.07214635495223731
CA-NL,2021-03,7.622238090206541e-8,0.00008730395540407198,0.03509834787063488,2.1818555122465127e-7,1.1353779159975447e-7,0.03377176640951898,0.001147725057840031,8.777937509858525e-7,0.004511865860014888
CA-PE,2021-03,6.769555909608167e-7,0.000060928708200423086,0.07586172771058601,4.7172833055212835e-8,2.3910160022888923e-8,0.016712318548973672,0.0010924530693884522,1.6443360912443818e-7,0.008018329552921486
CA-NS,2021-03,4.0080660455679824e-7,0.0008633521168166568,0.17959473907677737,0.000004165098076717868,0.000002145446739373601,0.4518820159591835,0.006735683838020333,0.000016766311336328563,0.05657592652887287
CA-NB,2021-03,3.3404068527250785e-7,0.00038640027480886,0.09238100840302224,0.0000017417354833487373,8.994593430003611e-7,0.19298271086833618,0.008812983299805035,0.000007010313243931567,0.07767838044070259
CA-QC,2021-03,1.076228931286409e-7,0.00005505710391500082,0.032468362048298414,5.15298811281293e-8,2.7624034647760533e-8,0.016194034735672568,0.000925127771212773,2.0507018901347748e-7,0.0027378861382143837
CA-ON,2021-03,4.175326378716515e-7,0.00013497487042164595,0.04926215582179837,4.3406467450258025e-7,2.26675319774218e-7,0.05452291005102921,0.008436819012358755,0.0000017440490572187388,0.07380338011119794
CA-MB,2021-03,8.170062611169023e-8,0.00004846037618062806,0.029467675505320503,1.927339610811185e-8,1.1080551024946842e-8,0.01273856030848136,0.0008730604458757551,7.61866211772958e-8,0.0020912328311190574
CA-SK,2021-03,3.5006917698748275e-7,0.0009071878997357665,0.18256110226193634,0.0000043921139795970335,0.000002262498185447303,0.4758127304106424,0.007036600251358044,0.00001768301254060862,0.058917233955170546
